answer_number,question_title,author_name,answer_url,created_time,introduction,regional,comment,comment_number
10,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Larry-Rafey,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1054406783April 21, 2020 at 11:48:43 PM","B.S. in Microbiology & Infectious Disease & Microbial Genetics, American University   ;2M content views35.4K this month   ;Active in 2 Spaces   ;Joined February 2017",America," only has a Sickcare System so , it won’t recover.",59
10,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Larry-Rafey,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1054406783April 21, 2020 at 11:48:43 PM","B.S. in Microbiology & Infectious Disease & Microbial Genetics, American University   ;2M content views35.4K this month   ;Active in 2 Spaces   ;Joined February 2017",America, It was never ‘recovered’ in the first place.,60
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America,I saw on my local news that some hospitals are laying off people.,61
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America, I know my doctor’s office is laying off people.,62
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America, They (,63
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America,20 or so locations),64
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America, are owned by the local hospital and there is no work being done there.,65
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America,,66
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America,People in the hot spots are burned out.,67
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America, They are tired and whipped and sad beyond belief.,68
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America, I live where there is very little coronavirus.,69
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America," So where some medical personnel are getting laid off, the other areas are bedlam, filled with doctors and nurses pushed beyond belief.",70
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America,,71
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America,I think we can expect another curve for when things start getting back to normal.,72
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America," A slow climb, a peak and then back to normal.",73
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Janis-Tribble,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America, At least I hope and pray so.,74
12,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Gisa-J%C3%A4hnichen,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1054362975April 21, 2020 at 10:59:53 PM",Professor at Shanghai Conservatory of Music2016–present   ;Studied at Charles University in Prague   ;Lives in Shanghai   ;798.4K content views7.8K this month   ;Active in 1 Space   ;Joined August 2014,China,"Who, please, is meant with “we”?",75
12,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Gisa-J%C3%A4hnichen,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1054362975April 21, 2020 at 10:59:53 PM",Professor at Shanghai Conservatory of Music2016–present   ;Studied at Charles University in Prague   ;Lives in Shanghai   ;798.4K content views7.8K this month   ;Active in 1 Space   ;Joined August 2014,China," The world will lose doctors and nurses to the pandemy, maybe not only to burnout but to the disease itself, as they were confronted daily with the problem, while others were sitting in the background writing questions.",76
12,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Gisa-J%C3%A4hnichen,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1054362975April 21, 2020 at 10:59:53 PM",Professor at Shanghai Conservatory of Music2016–present   ;Studied at Charles University in Prague   ;Lives in Shanghai   ;798.4K content views7.8K this month   ;Active in 1 Space   ;Joined August 2014,China," The health care of each part of the world should instantly improve, mainly by better salaries, better equipment, better reputation.",77
13,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Keith-Higgins-34,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1053873993April 21, 2020 at 12:29:20 PM",Former Retired Small Business Owner   ;57.2K content views1K this month   ;Joined January 2020,,I don’t think our health care system in its many parts will ever recover fully.,78
13,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Keith-Higgins-34,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1053873993April 21, 2020 at 12:29:20 PM",Former Retired Small Business Owner   ;57.2K content views1K this month   ;Joined January 2020,," We are already losing health care professionals to “burn-out” in places like Chicago, Los Angeles and New York City.",79
14,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Suresh-Raina-122,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1045954644April 13, 2020 at 6:16:10 PM","Former Surgeon Teachiing, Clinical and Management1979–2008   ;Studied SurgeryGraduated 1978   ;Lives in Aventura, FL2019–present   ;746.3K content views24.7K this month   ;Joined April 2018",America,I would guess it would be a matter of a few weeks.,80
14,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Suresh-Raina-122,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1045954644April 13, 2020 at 6:16:10 PM","Former Surgeon Teachiing, Clinical and Management1979–2008   ;Studied SurgeryGraduated 1978   ;Lives in Aventura, FL2019–present   ;746.3K content views24.7K this month   ;Joined April 2018",America," Many doctors, nurses and other workers may need a break but I am sure they will all be back to work.",81
